"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","band"
"1","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Blew","73n50toCiw2DGnJkzaq3rK",0.416,0.919,"A#",-5.349,"minor",0.0639,7.36e-06,0.00265,0.342,0.599,129.898,174453,4,"A# minor",38,"Nirvana"
"2","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Floyd The Barber","38TVeXWupX2jF6Sxz7A9OL",0.455,0.909,"E",-5.444,"major",0.0404,0.002,0.398,0.0522,0.634,136.412,138040,4,"E major",33,"Nirvana"
"3","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"About A Girl","0O4Yt3iHNIZGFE3uhFLu6I",0.405,0.889,"B",-6.428,"minor",0.0307,7.35e-06,0.000201,0.174,0.648,132.209,168160,4,"B minor",46,"Nirvana"
"4","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"School","2iKWWCvl1Ss9uSMwxTy6IO",0.205,0.952,"A",-6.429,"major",0.0821,1.31e-05,0.233,0.0681,0.141,164.813,162147,4,"A major",38,"Nirvana"
"5","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Love Buzz","4LzM58Gzcc0Wumj4djK1mX",0.465,0.886,"D#",-7.183,"major",0.0354,2.38e-05,0.314,0.152,0.772,137.986,215120,4,"D# major",43,"Nirvana"
"6","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Paper Cuts","4VEakmh8qc7w92UjH8c9Cy",0.556,0.758,"E",-6.321,"major",0.042,0.00375,0.145,0.145,0.36,102.202,245853,4,"E major",31,"Nirvana"
"7","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Negative Creep","0WoOYvrMAbQfucOmiLZnQn",0.34,0.96,"D",-6.095,"major",0.0858,7.87e-06,5.16e-05,0.078,0.432,112.337,175760,3,"D major",35,"Nirvana"
"8","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Scoff","6BBlQJMet0pGymz7mYnSk5",0.43,0.936,"B",-6.635,"minor",0.0422,6.6e-06,0.747,0.137,0.802,145.412,250107,4,"B minor",31,"Nirvana"
"9","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Swap Meet","4yH00PCpBYjSgHlbSmeznn",0.39,0.961,"D",-6.309,"major",0.0576,0.000112,5.27e-06,0.113,0.644,146.267,182853,4,"D major",29,"Nirvana"
"10","2Lfy46M23IUeiDATnra0Bl","Bleach: Deluxe Edition","https://i.scdn.co/image/c2c9f75b580f74f78773bb811c2c90361fa115c2","1989-06-15",1989-06-15,43,"Mr. Moustache","1HlfrkiLvEXro4IsKaEw9Q",0.202,0.925,"C",-4.967,"major",0.0574,8.96e-06,0.186,0.114,0.569,177.525,204000,4,"C major",34,"Nirvana"
